,ACTA2,ACTG2,CHI3L1,HSPB1,KRT14,KRT17,MGP,MT1X,MT2A,MYLK,SAA1,SAA2,SOD2,TAGLN
ACTA2,1,0.142636431967646,-0.023066956895889,0.0928928642817433,0.0895031846787135,0.0607031075046208,-0.107725009034958,0.0731049393461871,0.0375789462644729,0.216917519674844,0.0991389400812567,-0.0685253490514322,-0.0717301743686638,0.233509676156215
ACTG2,0.142636431967646,1,-0.00482453367032809,0.136652759111532,0.0705278581613486,0.080094082396665,-0.147362065491697,0.000579587268378891,0.0902529758978993,0.115944385338971,0.109052752003248,-0.000136865965796556,-0.111333905498194,0.127547277532224
CHI3L1,-0.0230669568958889,-0.00482453367032805,1,-0.193231194178823,-0.0619922280886133,0.0479599904850719,0.195815112354855,0.105651758491163,-0.176336342153787,0.114543257220374,0.0941514734440765,0.189807797167718,0.115361780169896,-0.054988014533251
HSPB1,0.0928928642817433,0.136652759111532,-0.193231194178823,1,-0.18169274862598,-0.0537216265923736,0.153112152012738,0.0579004950973672,-0.188078889266837,0.0119446224737681,-0.11405005090007,-0.0236324132808433,-0.0891227589584627,0.0687128389009065
KRT14,0.0895031846787136,0.0705278581613487,-0.0619922280886132,-0.18169274862598,1,0.72726603820525,-0.0359401716269881,-0.0263085349830015,0.0193396501698459,0.000894293717711752,-0.110656271795774,0.0671942066310069,0.00933567980826243,0.227570477461187
KRT17,0.0607031075046208,0.0800940823966649,0.0479599904850718,-0.0537216265923736,0.72726603820525,1,-0.0437823277051588,-0.0386815991566571,-0.0190091130581496,0.0361579940486426,0.03526683266473,-0.0927059646166522,0.0113564837039183,0.0626758116403127
MGP,-0.107725009034958,-0.147362065491697,0.195815112354855,0.153112152012738,-0.0359401716269882,-0.0437823277051586,1,0.0198943493698191,-0.019295979874059,-0.0366275769757179,-0.0397920106928515,-0.00222816319390111,-0.0342438913628433,-0.0785749414342337
MT1X,0.0731049393461872,0.000579587268378811,0.105651758491163,0.0579004950973672,-0.0263085349830015,-0.0386815991566571,0.0198943493698191,1,0.61824995808871,0.0833732694241771,0.11185825157942,0.00173155181983898,0.00920437862513122,-0.0164553812169662
MT2A,0.0375789462644728,0.0902529758978992,-0.176336342153787,-0.188078889266837,0.019339650169846,-0.0190091130581496,-0.019295979874059,0.61824995808871,1,-0.00591123790351158,0.0440584709188753,-0.00803916346225368,0.249898913887486,0.0770066919875793
MYLK,0.216917519674844,0.115944385338971,0.114543257220374,0.0119446224737681,0.000894293717711913,0.0361579940486425,-0.0366275769757179,0.0833732694241772,-0.0059112379035116,1,0.0206099069823857,-0.0426419676465538,0.0163626967521279,0.304862494499987
SAA1,0.0991389400812567,0.109052752003248,0.0941514734440768,-0.11405005090007,-0.110656271795774,0.03526683266473,-0.0397920106928515,0.111858251579421,0.0440584709188751,0.0206099069823856,1,0.790077085078098,0.131705010764739,-0.00117353127738976
SAA2,-0.0685253490514323,-0.000136865965796625,0.189807797167718,-0.0236324132808433,0.0671942066310068,-0.0927059646166522,-0.00222816319390109,0.00173155181983868,-0.00803916346225351,-0.0426419676465538,0.790077085078098,1,0.0207350785639554,0.0159845880540851
SOD2,-0.0717301743686639,-0.111333905498194,0.115361780169896,-0.0891227589584627,0.00933567980826237,0.0113564837039184,-0.0342438913628432,0.00920437862513113,0.249898913887486,0.0163626967521279,0.13170501076474,0.0207350785639553,1,0.00563228262649772
TAGLN,0.233509676156215,0.127547277532225,-0.054988014533251,0.0687128389009064,0.227570477461187,0.0626758116403124,-0.0785749414342338,-0.0164553812169662,0.0770066919875794,0.304862494499987,-0.00117353127738968,0.015984588054085,0.00563228262649769,1
